Author,Title,Q_Count,E_Count,SC_Count,C_Count,D_Count,Co_Count,Qu_Count,Pa_Count,Sent_Count,Hyphen_Count,Word_Num,Unique_Words,Word_Length_Av,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
Charles Dickens,Oliver Twist,1,8,18,5,2,90,22,0,40,4,1010,485,5.889867841409692,39,4,127,4,0,132,88,4,2,0,14,175,31,28,0,0,3,57,22,42,1,3,8,25,1,32,63,25,42,10,14,11,5,1,4
Charles Dickens,Oliver Twist,1,5,13,0,10,80,8,2,34,16,1058,500,6.380341880341881,49,7,133,4,0,136,91,5,4,0,16,171,32,37,0,0,5,42,12,64,0,0,4,31,0,32,69,20,47,9,3,6,11,1,8
Charles Dickens,Oliver Twist,7,4,10,1,3,111,59,3,78,7,917,378,5.839762611275964,32,5,96,0,0,86,55,0,0,0,18,133,16,95,0,2,4,90,19,42,0,1,6,16,1,36,66,16,19,31,11,7,6,0,6
Charles Dickens,Oliver Twist,7,6,13,4,3,74,28,0,56,9,1019,443,5.635696821515892,42,7,130,0,0,115,82,1,0,0,8,150,28,41,0,0,2,75,17,63,1,1,4,25,3,31,92,20,26,16,8,5,14,0,7
Charles Dickens,Oliver Twist,1,6,28,4,1,85,19,3,47,4,999,461,5.986013986013986,43,14,131,3,0,135,69,4,0,0,12,176,55,32,0,3,5,54,16,33,3,1,3,20,0,26,87,18,31,8,3,7,7,0,6
Charles Dickens,Oliver Twist,1,1,8,6,1,101,14,1,28,7,1033,478,6.252796420581656,44,7,129,2,0,154,65,4,1,0,7,179,36,53,0,0,5,48,27,57,3,0,1,30,0,36,66,29,32,3,2,7,4,0,5
Charles Dickens,Oliver Twist,3,15,8,6,4,102,54,0,62,0,937,426,5.851851851851852,34,12,103,2,1,100,55,2,1,0,12,150,31,58,0,1,3,64,20,62,0,0,7,28,2,44,58,15,28,22,18,3,2,0,4
Charles Dickens,Oliver Twist,5,5,12,9,6,104,36,0,47,8,972,414,5.861702127659575,36,5,101,4,0,122,73,1,2,0,15,146,24,56,0,2,3,75,34,47,2,0,4,23,2,35,84,20,16,13,10,7,8,1,4
Charles Dickens,Oliver Twist,2,5,11,9,1,99,36,0,46,7,986,463,6.121495327102804,28,8,121,1,0,116,71,4,3,0,19,158,30,71,0,3,3,54,17,40,2,2,5,34,1,43,58,13,26,23,14,8,4,0,6
Charles Dickens,Oliver Twist,6,6,20,6,7,94,58,0,45,5,952,430,5.8320610687022905,25,5,117,1,0,126,69,1,1,0,14,154,27,50,0,2,5,70,19,52,2,0,2,26,2,27,74,24,18,18,8,7,6,0,3
Charles Dickens,Oliver Twist,7,14,20,7,5,92,49,0,65,8,941,442,5.66,35,4,94,4,0,109,58,4,1,0,12,140,27,60,0,2,8,65,30,61,1,1,10,13,4,35,70,22,18,21,19,6,4,4,4
Charles Dickens,Oliver Twist,6,3,9,9,0,100,30,0,51,19,1003,506,5.735357917570499,36,6,129,1,0,133,79,1,3,0,11,167,32,53,0,1,6,52,22,34,2,1,8,21,2,38,74,16,24,16,4,12,4,0,5
Charles Dickens,Oliver Twist,7,10,13,3,4,110,54,0,69,11,929,428,6.151670951156812,25,2,90,2,0,91,63,0,4,0,14,138,20,82,0,4,5,61,33,63,1,2,5,20,4,47,64,21,20,15,10,11,7,0,5
Charles Dickens,Oliver Twist,1,8,22,1,6,90,31,1,47,4,980,481,5.857466063348416,47,3,122,5,0,120,68,2,1,0,6,164,33,31,0,0,6,47,27,68,3,1,5,22,3,28,84,16,39,8,16,6,9,0,3
Charles Dickens,Oliver Twist,2,17,24,10,9,86,19,1,54,7,988,448,5.558252427184466,46,6,121,2,0,121,58,1,1,0,12,149,41,34,0,2,6,71,32,63,2,0,10,15,2,26,79,27,31,10,6,2,7,1,5
